REF_DATE,VALUE,change%,Trend,num_months
2019-06,29603886,,,0.0
2019-07,28520149,-0.03660793045885936,,0.0
2019-08,29824199,0.04572381441625708,,0.0
2019-09,29849559,0.0008503162146953218,0.0,0.0
2019-10,30487948,0.021386882131156443,1.0,2.0
